116,0.17,"In years, the length of the 100 year war."
719,0.03,The current number of revealed species of Pokemon.
150,0.13,"In millions of kilometres, the distance from Earth's moon to the sun."
198,0.1,"In centimetres, the height of Michael Jordan."
4,5,"In seconds, the length of time it takes TNT to explode in Minecraft."
33,0.6,"In grams, the amount of sugar in a can of coke."
5,4,"In litres, the amount of blood in the average adult male."
86,0.23,"In years, the age of the longest living elephant who died in 2003."
12,1.7,The number of men who have landed on the moon.
170,0.12,"In tonnes, the weight of a blue whale."
